time,temp_c,rain_prob,city,country
2026-08-06T00:00,28.3,18,Ashburn,Korea (Republic of)
2026-08-06T01:00,27.7,16,Ashburn,Korea (Republic of)
2026-08-06T02:00,27.1,15,Ashburn,Korea (Republic of)
2026-08-06T03:00,26.7,14,Ashburn,Korea (Republic of)
2026-08-06T04:00,26.3,11,Ashburn,Korea (Republic of)
2026-08-06T05:00,25.9,9,Ashburn,Korea (Republic of)
2026-08-06T06:00,25.5,6,Ashburn,Korea (Republic of)
2026-08-06T07:00,25.8,4,Ashburn,Korea (Republic of)
2026-08-06T08:00,26.9,2,Ashburn,Korea (Republic of)
2026-08-06T09:00,28.9,2,Ashburn,Korea (Republic of)
2026-08-06T10:00,30.6,4,Ashburn,Korea (Republic of)
2026-08-06T11:00,31.9,7,Ashburn,Korea (Republic of)
2026-08-06T12:00,33.1,8,Ashburn,Korea (Republic of)
2026-08-06T13:00,34.0,5,Ashburn,Korea (Republic of)
2026-08-06T14:00,34.7,1,Ashburn,Korea (Republic of)
2026-08-06T15:00,35.3,0,Ashburn,Korea (Republic of)
2026-08-06T16:00,35.4,7,Ashburn,Korea (Republic of)
2026-08-06T17:00,35.2,18,Ashburn,Korea (Republic of)
2026-08-06T18:00,34.3,24,Ashburn,Korea (Republic of)
2026-08-06T19:00,31.9,21,Ashburn,Korea (Republic of)
2026-08-06T20:00,30.3,13,Ashburn,Korea (Republic of)
2026-08-06T21:00,29.4,6,Ashburn,Korea (Republic of)
2026-08-06T22:00,28.7,4,Ashburn,Korea (Republic of)
2026-08-06T23:00,28.3,3,Ashburn,Korea (Republic of)
2026-08-07T00:00,28.2,2,Ashburn,Korea (Republic of)
2026-08-07T01:00,27.2,1,Ashburn,Korea (Republic of)
2026-08-07T02:00,26.7,0,Ashburn,Korea (Republic of)
2026-08-07T03:00,26.4,0,Ashburn,Korea (Republic of)
2026-08-07T04:00,26.0,0,Ashburn,Korea (Republic of)
2026-08-07T05:00,25.5,0,Ashburn,Korea (Republic of)
2026-08-07T06:00,25.2,0,Ashburn,Korea (Republic of)
2026-08-07T07:00,25.4,0,Ashburn,Korea (Republic of)
2026-08-07T08:00,26.5,0,Ashburn,Korea (Republic of)
2026-08-07T09:00,28.1,0,Ashburn,Korea (Republic of)
2026-08-07T10:00,29.8,0,Ashburn,Korea (Republic of)
2026-08-07T11:00,31.7,0,Ashburn,Korea (Republic of)
2026-08-07T12:00,33.0,0,Ashburn,Korea (Republic of)
2026-08-07T13:00,34.1,1,Ashburn,Korea (Republic of)
2026-08-07T14:00,34.9,3,Ashburn,Korea (Republic of)
2026-08-07T15:00,35.5,4,Ashburn,Korea (Republic of)
2026-08-07T16:00,35.9,6,Ashburn,Korea (Republic of)
2026-08-07T17:00,35.9,8,Ashburn,Korea (Republic of)
2026-08-07T18:00,35.4,8,Ashburn,Korea (Republic of)
2026-08-07T19:00,33.9,6,Ashburn,Korea (Republic of)
2026-08-07T20:00,32.1,3,Ashburn,Korea (Republic of)
2026-08-07T21:00,30.8,0,Ashburn,Korea (Republic of)
2026-08-07T22:00,30.0,0,Ashburn,Korea (Republic of)
2026-08-07T23:00,29.2,0,Ashburn,Korea (Republic of)
2026-08-08T00:00,28.6,0,Ashburn,Korea (Republic of)
2026-08-08T01:00,28.0,0,Ashburn,Korea (Republic of)
2026-08-08T02:00,27.5,0,Ashburn,Korea (Republic of)
2026-08-08T03:00,27.2,0,Ashburn,Korea (Republic of)
2026-08-08T04:00,27.0,0,Ashburn,Korea (Republic of)
2026-08-08T05:00,26.9,0,Ashburn,Korea (Republic of)
2026-08-08T06:00,26.7,0,Ashburn,Korea (Republic of)
2026-08-08T07:00,27.0,0,Ashburn,Korea (Republic of)
2026-08-08T08:00,28.0,1,Ashburn,Korea (Republic of)
2026-08-08T09:00,29.5,2,Ashburn,Korea (Republic of)
2026-08-08T10:00,31.1,3,Ashburn,Korea (Republic of)
2026-08-08T11:00,32.4,4,Ashburn,Korea (Republic of)
2026-08-08T12:00,33.3,12,Ashburn,Korea (Republic of)
2026-08-08T13:00,31.9,31,Ashburn,Korea (Republic of)
2026-08-08T14:00,30.9,56,Ashburn,Korea (Republic of)
2026-08-08T15:00,30.3,75,Ashburn,Korea (Republic of)
2026-08-08T16:00,29.4,84,Ashburn,Korea (Republic of)
2026-08-08T17:00,28.6,86,Ashburn,Korea (Republic of)
2026-08-08T18:00,27.7,82,Ashburn,Korea (Republic of)
2026-08-08T19:00,26.6,67,Ashburn,Korea (Republic of)
2026-08-08T20:00,25.8,45,Ashburn,Korea (Republic of)
2026-08-08T21:00,25.5,27,Ashburn,Korea (Republic of)
2026-08-08T22:00,25.3,16,Ashburn,Korea (Republic of)
2026-08-08T23:00,25.2,7,Ashburn,Korea (Republic of)
